Team,FVOA,FVOA Rank,Week
Scott,78.77,1,1
German,32.37,2,1
Justin,15.75,3,1
Brian,15.44,4,1
David,-11.75,5,1
Eric,-13.11,6,1
Bobby,-27.45,7,1
Pfinn,-28.34,8,1
Barrett,-28.6,9,1
Diaz,-33.09,10,1
Scott,54.16,1,2
German,51.27,2,2
Justin,27.39,3,2
Brian,10.54,4,2
Barrett,-1.39,5,2
Pfinn,-15.38,6,2
Bobby,-17.35,7,2
Diaz,-32.58,8,2
David,-38.33,9,2
Eric,-38.34,10,2
German,56.42,1,3
Scott,50.11,2,3
Brian,14.6,3,3
Justin,12.78,4,3
Bobby,7.86,5,3
Barrett,-16.77,6,3
David,-19.38,7,3
Pfinn,-22.28,8,3
Eric,-29.65,9,3
Diaz,-53.69,10,3
Scott,64.21,1,4
German,37.11,2,4
Brian,35.67,3,4
Bobby,14.12,4,4
Justin,12.58,5,4
David,-19.77,6,4
Barrett,-20.64,7,4
Pfinn,-33.95,8,4
Eric,-41.19,9,4
Diaz,-48.14,10,4
Scott,73.12,1,5
Brian,47.37,2,5
Bobby,14.92,3,5
German,8.88,4,5
Justin,4.44,5,5
David,-5.5,6,5
Barrett,-18.49,7,5
Diaz,-33.62,8,5
Pfinn,-43.64,9,5
Eric,-47.47,10,5
Scott,69.36,1,6
Brian,58.94,2,6
German,25.07,3,6
Justin,6.17,4,6
Bobby,4.77,5,6
David,-18.59,6,6
Diaz,-19.73,7,6
Barrett,-24.95,8,6
Eric,-48.67,9,6
Pfinn,-52.36,10,6
Scott,60.01,1,7
Brian,57.24,2,7
Bobby,26.99,3,7
German,22.02,4,7
Justin,6.37,5,7
Diaz,-14.02,6,7
Barrett,-15.45,7,7
David,-30.66,8,7
Eric,-54.42,9,7
Pfinn,-58.08,10,7
Scott,61.28,1,8
Brian,38.26,2,8
Bobby,31.82,3,8
German,11.23,4,8
Diaz,0.22,5,8
Justin,-6.41,6,8
Barrett,-17.61,7,8
David,-38.29,8,8
Eric,-40.24,9,8
Pfinn,-40.27,10,8
Scott,48.95,1,9
Brian,27.6,2,9
German,25.54,3,9
Bobby,19.84,4,9
Diaz,3.14,5,9
Justin,2.04,6,9
Pfinn,-23.77,7,9
Barrett,-26.36,8,9
David,-36.24,9,9
Eric,-40.74,10,9
Scott,47.32,1,10
German,22.01,2,10
Bobby,12.58,3,10
Brian,10.96,4,10
Diaz,4.32,5,10
Justin,0.97,6,10
Barrett,-15.3,7,10
Eric,-22.31,8,10
Pfinn,-28.32,9,10
David,-32.23,10,10
Scott,53.67,1,11
Bobby,20.43,2,11
German,11.99,3,11
Diaz,9.45,4,11
Brian,0.67,5,11
Eric,-1.52,6,11
Justin,-4.4,7,11
Pfinn,-17.57,8,11
Barrett,-32.18,9,11
David,-40.54,10,11
Scott,28.78,1,12
German,28.12,2,12
Bobby,27.77,3,12
Diaz,9.51,4,12
Brian,-0.7,5,12
Eric,-2.46,6,12
Pfinn,-6.73,7,12
Justin,-17.12,8,12
Barrett,-29.95,9,12
David,-37.22,10,12
German,33.94,1,13
Bobby,30.22,2,13
Scott,24.23,3,13
Diaz,15.07,4,13
Brian,-0.59,5,13
Eric,-1.95,6,13
Pfinn,-5.41,7,13
Justin,-21.65,8,13
Barrett,-31.83,9,13
David,-42.04,10,13
German,40.61,1,14
Scott,23.45,2,14
Diaz,22.94,3,14
Bobby,22.47,4,14
Brian,6.8,5,14
Pfinn,1.22,6,14
Eric,-3.67,7,14
Justin,-23.21,8,14
Barrett,-39.56,9,14
David,-51.05,10,14
German,48.64,1,15
Scott,34.54,2,15
Diaz,28.75,3,15
Bobby,14.27,4,15
Brian,5.21,5,15
Pfinn,-4.9,6,15
Eric,-7.73,7,15
Justin,-29.1,8,15
Barrett,-29.73,9,15
David,-59.96,10,15
