Team,Barrett,Bobby,Brian,David,Diaz,Eric,German,Justin,Pfinn,Scott
Barrett,0,30.79,32.39,64.89,21.21,38.24,18.21,45.21,36.36,23.4
Bobby,68.11,0,54.78,79.47,46.38,59.84,33.05,68.68,59.01,39.77
Brian,66.22,43.94,0,80.61,37.41,55.66,26.98,67.77,54.46,33.82
David,33.7,19.62,18.3,0,8.9,23.14,11.1,25.01,20.88,14.77
Diaz,77.5,52.23,60.78,90.32,0,67.68,32.02,85.18,67.27,40.03
Eric,60.3,38.93,42.75,75.62,30.66,0,23.47,59.78,47.67,29.75
German,81.06,66.07,72.09,88.36,66.9,75.66,0,82.6,75.39,56.45
Justin,52.87,29.99,30.34,73.3,13.25,38.21,16.6,0,35.31,22.09
Pfinn,62.13,39.72,43.86,77.88,30.94,50.65,23.72,62.55,0,30.18
Scott,75.73,59.27,65.13,84.55,58.77,69.26,42.67,76.91,68.78,0
