Team,Barrett,Bobby,Brian,David,Diaz,Eric,German,Justin,Pfinn,Scott
Barrett,0,+15,+11,-10,+17,+7,+31.5,+2,+8,+24.5
Bobby,-15,0,-4,-25,+2,-8,+16.5,-13,-7,+9.5
Brian,-11,+4,0,-21,+6,-4,+20.5,-9,-3,+13.5
David,+10,+25,+21,0,+27,+17,+41.5,+12,+18,+34.5
Diaz,-17,-2,-6,-27,0,-10,+14.5,-15,-9,+7.5
Eric,-7,+8,+4,-17,+10,0,+24.5,-5,+1,+17.5
German,-31.5,-16.5,-20.5,-41.5,-14.5,-24.5,0,-29.5,-23.5,-7.5
Justin,-2,+13,+9,-12,+15,+5,+29.5,0,+6,+22.5
Pfinn,-8,+7,+3,-18,+9,-1,+23.5,-6,0,+16.5
Scott,-24.5,-9.5,-13.5,-34.5,-7.5,-17.5,+7,-22.5,-16.5,0
