Team,Points,Wins,pl_wins,Losses,Tie,sim
Scott,2277.68,11,10,4,0,1
PFinn,1905.92,11,10,4,0,1
Diaz,1843.11,11,11,4,0,1
German,1786.94,10,10,5,0,1
Bobby,1893.16,9,9,6,0,1
Brian,1734.98,6,5,9,0,1
Barrett,1658.76,6,5,9,0,1
Eric,1670.2,5,4,10,0,1
David,1654.8700000000001,5,5,10,0,1
Justin,1396.54,1,1,14,0,1
PFinn,1890.35,13,12,2,0,2
David,1763.39,11,10,4,0,2
Scott,1939.04,9,8,6,0,2
Barrett,1878.81,9,9,6,0,2
Diaz,1586.02,8,8,7,0,2
Bobby,1861.7,7,7,8,0,2
Brian,1620.23,7,6,8,0,2
German,1534.26,4,4,11,0,2
Eric,1464.05,4,4,11,0,2
Justin,1424.1,3,2,12,0,2
PFinn,1983.79,12,11,3,0,3
German,1853.22,11,11,4,0,3
Barrett,1845.1399999999999,11,10,4,0,3
Scott,1683.41,9,9,6,0,3
David,1743.53,8,8,7,0,3
Diaz,1611.79,6,5,9,0,3
Brian,1657.02,5,4,10,0,3
Bobby,1496.69,5,5,10,0,3
Eric,1486.1100000000001,5,5,10,0,3
Justin,1401.57,3,2,12,0,3
Barrett,1909.15,10,9,5,0,4
Diaz,1648.85,10,9,5,0,4
PFinn,1894.73,9,8,6,0,4
Bobby,1798.98,9,8,6,0,4
David,1719.77,8,8,7,0,4
Scott,1676.43,6,6,9,0,4
Eric,1650.58,6,5,9,0,4
Brian,1648.42,6,6,9,0,4
German,1586.43,6,6,9,0,4
Justin,1573.72,5,5,10,0,4
Scott,2207.51,13,12,2,0,5
German,2196.97,12,12,3,0,5
PFinn,1899.47,9,8,6,0,5
Brian,1735.42,9,8,6,0,5
David,1734.03,9,8,6,0,5
Bobby,1804.2,7,7,8,0,5
Barrett,1790.92,7,7,8,0,5
Diaz,1551.45,6,6,9,0,5
Justin,1472.13,2,1,13,0,5
Eric,1248.68,1,1,14,0,5
Scott,2065.24,12,12,3,0,6
PFinn,1926.8700000000001,12,12,3,0,6
Bobby,1840.07,8,8,7,0,6
Brian,1734.46,8,7,7,0,6
German,1692.39,8,7,7,0,6
David,1650.34,8,7,7,0,6
Eric,1848.92,7,6,8,0,6
Barrett,1672.36,6,6,9,0,6
Diaz,1455.7,6,5,9,0,6
Justin,1287.61,0,0,15,0,6
Eric,2013.37,11,10,4,0,7
PFinn,1905.67,9,9,6,0,7
Bobby,1903.38,9,9,6,0,7
Scott,1862.09,9,9,6,0,7
German,1793.72,8,7,7,0,7
Diaz,1774.47,8,7,7,0,7
Barrett,1828.92,6,5,9,0,7
Brian,1671.54,6,5,9,0,7
David,1580.56,6,6,9,0,7
Justin,1435.39,3,3,12,0,7
Barrett,1785.26,12,11,3,0,8
PFinn,1973.48,11,10,4,0,8
Scott,1856.15,11,10,4,0,8
Bobby,1918.0900000000001,10,9,5,0,8
German,1762.13,8,8,7,0,8
David,1630.44,6,6,9,0,8
Brian,1683.38,5,5,10,0,8
Eric,1626.79,5,5,10,0,8
Justin,1444.62,4,3,11,0,8
Diaz,1437.58,3,3,12,0,8
Scott,2281.49,12,11,3,0,9
German,1974.02,12,12,3,0,9
Barrett,1940.3799999999999,11,10,4,0,9
PFinn,1871.77,10,9,5,0,9
Bobby,1813.66,7,7,8,0,9
Brian,1711.91,6,5,9,0,9
Eric,1661.7,6,5,9,0,9
David,1642.79,6,6,9,0,9
Diaz,1477.3799999999999,3,3,12,0,9
Justin,1407.47,2,2,13,0,9
Scott,2198.88,14,13,1,0,10
German,1885.69,12,11,3,0,10
Bobby,1962.72,10,9,5,0,10
David,1814.72,9,8,6,0,10
Barrett,1818.31,6,6,9,0,10
PFinn,1801.02,6,6,9,0,10
Diaz,1771.26,6,6,9,0,10
Justin,1634.65,5,5,10,0,10
Eric,1538.43,4,3,11,0,10
Brian,1662.6,3,3,12,0,10
Scott,2103.04,13,12,2,0,11
German,2052.03,11,10,4,0,11
PFinn,1922.99,10,10,5,0,11
David,1668.29,10,9,5,0,11
Bobby,1895.24,9,9,6,0,11
Diaz,1665.91,8,8,7,0,11
Barrett,1668.92,6,6,9,0,11
Brian,1723.04,5,4,10,0,11
Eric,1609.18,3,2,12,0,11
Justin,1187.94,0,0,15,0,11
German,2036.05,14,13,1,0,12
Scott,2237.1,12,12,3,0,12
Bobby,1989.28,10,9,5,0,12
PFinn,1837.78,8,8,7,0,12
David,1646.71,8,7,7,0,12
Barrett,1709.91,7,7,8,0,12
Diaz,1465.39,6,5,9,0,12
Brian,1604.51,4,4,11,0,12
Eric,1482.05,4,3,11,0,12
Justin,1429.99,2,2,13,0,12
PFinn,1967.98,11,11,4,0,13
