sim,Team,Points,Wins,pl_wins,Losses,Tie
1,German,1791.1100000000001,12,11,3,0
1,Scott,1760.82,11,11,4,0
1,Brian,1620.95,8,7,7,0
1,Diaz,1553.8700000000001,8,7,7,0
1,Justin,1527.68,8,7,7,0
1,Bobby,1617.6200000000001,6,6,9,0
1,Eric,1473.68,6,6,9,0
1,Barrett,1361.37,6,6,9,0
1,Pfinn,1464.42,5,4,10,0
1,David,1376.3600000000001,5,5,10,0
2,German,1791.58,12,11,3,0
2,Scott,1750.08,11,11,4,0
2,Diaz,1558.85,8,7,7,0
2,Justin,1521.24,8,7,7,0
2,Bobby,1684.3,7,6,8,0
2,Brian,1636.51,7,7,8,0
2,Eric,1460.08,6,6,9,0
2,Barrett,1410.81,6,6,9,0
2,Pfinn,1503.77,5,4,10,0
2,David,1340.8700000000001,5,5,10,0
3,German,1800.15,12,11,3,0
3,Scott,1705.44,11,11,4,0
3,Justin,1507.18,8,7,7,0
3,Bobby,1674.66,7,6,8,0
3,Brian,1608.25,7,7,8,0
3,Diaz,1564.76,7,7,8,0
3,Eric,1505.62,7,6,8,0
3,Barrett,1402.04,7,6,8,0
3,David,1362.92,5,5,10,0
3,Pfinn,1473.54,4,4,11,0
4,German,1768.59,12,11,3,0
4,Scott,1738.3400000000001,11,11,4,0
4,Brian,1648.28,8,7,7,0
4,Diaz,1572.49,8,7,7,0
4,Justin,1513.8700000000001,7,7,8,0
4,Bobby,1669.78,6,6,9,0
4,Eric,1454.79,6,6,9,0
4,David,1403.02,6,5,9,0
4,Barrett,1387.59,6,6,9,0
4,Pfinn,1473.39,5,4,10,0
5,German,1782.05,12,11,3,0
5,Scott,1770.42,11,11,4,0
5,Diaz,1562.38,8,7,7,0
5,Justin,1515.33,8,7,7,0
5,Bobby,1670.85,7,6,8,0
5,Brian,1609.99,7,7,8,0
5,Eric,1481.86,6,6,9,0
5,Barrett,1407.24,6,6,9,0
5,Pfinn,1495.47,5,4,10,0
5,David,1365.94,5,5,10,0
6,German,1839.31,12,11,3,0
6,Scott,1696.96,11,11,4,0
6,Diaz,1578.51,8,7,7,0
6,Justin,1505.65,8,7,7,0
6,Bobby,1693.97,7,6,8,0
6,Brian,1632.04,7,7,8,0
6,Eric,1481.66,6,6,9,0
6,Barrett,1404.1599999999999,6,6,9,0
6,Pfinn,1483.13,5,4,10,0
6,David,1350.92,5,5,10,0
7,German,1765.41,12,11,3,0
7,Scott,1733.68,11,11,4,0
7,Diaz,1574.56,8,7,7,0
7,Justin,1522.8,8,7,7,0
7,Bobby,1708.54,7,6,8,0
7,Brian,1624.84,7,7,8,0
7,Eric,1477.93,6,6,9,0
7,Barrett,1406.45,6,6,9,0
