Team,Points,Wins,Percent,Rank,Week
Scott,1802.9,13.7,100,1,1
German,1641.9,10.3,81.7,2,1
Justin,1586.2,9.2,61.2,3,1
Brian,1585.6,8.5,50.6,4,1
Eric,1448.4,7.2,26.8,5,1
David,1457.3,7.1,26.2,6,1
Bobby,1335.9,4.9,14.7,7,1
Barrett,1327.9,5,13.6,8,1
Pfinn,1335.2,4.6,12.6,9,1
Diaz,1288,4.5,12.6,10,1
German,1742.5,12.2,96.8,1,2
Scott,1742.1,12.2,96.1,2,2
Justin,1644.6,10.5,82.6,3,2
Barrett,1509.3,7.6,36.5,4,2
Brian,1584.6,7.7,34.7,5,2
Bobby,1414.1,6.1,17,6,2
Pfinn,1435.3,5.5,16.8,7,2
Diaz,1310.2,4.1,7.2,8,2
David,1277.7,4.5,6.2,9,2
Eric,1280,4.7,6.1,10,2
Scott,1740.8,12.1,98.4,1,3
German,1785.2,12.7,97.9,2,3
Justin,1609.3,9.2,62.6,3,3
Bobby,1592.2,8.6,50.2,4,3
Brian,1620.4,8.3,47.7,5,3
David,1416.7,6.5,17.8,6,3
Barrett,1435.8,5.9,11.9,7,3
Eric,1362,5.1,6.7,8,3
Pfinn,1414.4,4.5,4.9,9,3
Diaz,1166.5,2.2,1.9,10,3
Scott,1807.4,13.2,99.8,1,4
German,1700.3,10.5,83.3,2,4
Brian,1688.3,9.6,72.5,3,4
Bobby,1615.8,9.6,61.9,4,4
Justin,1596.2,9.2,55.8,5,4
David,1422.5,6.5,13.7,6,4
Barrett,1423.3,6.1,9.2,7,4
Eric,1305.1,4,1.8,8,4
Pfinn,1357.6,3.6,1.4,9,4
Diaz,1230.5,2.6,0.6,10,4
Scott,1913.2,13.8,99.8,1,5
Brian,1738.8,10.5,94.5,2,5
Bobby,1596.3,8.7,61.5,3,5
Justin,1543.6,8.2,47,4,5
German,1567.4,7.9,42.1,5,5
David,1496.5,7.8,38,6,5
Barrett,1432.5,6.2,10.3,7,5
Diaz,1338.9,4.5,4.5,8,5
Eric,1296.1,4.6,2.2,9,5
Pfinn,1315.1,2.7,0.1,10,5
Scott,1858.1,12.6,99.8,1,6
Brian,1772,11.3,98.7,2,6
German,1656.2,9.7,77,3,6
Justin,1540.2,8.7,57.6,4,6
Bobby,1541.5,7.6,34.6,5,6
David,1426.7,6.7,15.4,6,6
Diaz,1413.6,5.7,8.5,7,6
