Team,Points,Wins,pl_wins,Losses,Tie,sim
Wikle,1692,9,9,5,0,1
Brazil,1802,8,8,6,0,1
Rebecca,1743.5,8,8,6,0,1
Jersey,1723,8,8,6,0,1
Ford,1828.5,7,7,7,0,1
Kral,1661.5,7,7,7,0,1
Jangaard,1620,7,7,7,0,1
Bethany,1618.5,7,7,7,0,1
Scott,1497.5,5,5,9,0,1
Burg,1448,4,4,10,0,1
Wikle,1692,9,9,5,0,2
Brazil,1802,8,8,6,0,2
Rebecca,1743.5,8,8,6,0,2
Jersey,1723,8,8,6,0,2
Ford,1828.5,7,7,7,0,2
Kral,1661.5,7,7,7,0,2
Jangaard,1620,7,7,7,0,2
Bethany,1618.5,7,7,7,0,2
Scott,1497.5,5,5,9,0,2
Burg,1448,4,4,10,0,2
Wikle,1692,9,9,5,0,3
Brazil,1802,8,8,6,0,3
Rebecca,1743.5,8,8,6,0,3
Jersey,1723,8,8,6,0,3
Ford,1828.5,7,7,7,0,3
Kral,1661.5,7,7,7,0,3
Jangaard,1620,7,7,7,0,3
Bethany,1618.5,7,7,7,0,3
Scott,1497.5,5,5,9,0,3
Burg,1448,4,4,10,0,3
Wikle,1692,9,9,5,0,4
Brazil,1802,8,8,6,0,4
Rebecca,1743.5,8,8,6,0,4
Jersey,1723,8,8,6,0,4
Ford,1828.5,7,7,7,0,4
Kral,1661.5,7,7,7,0,4
Jangaard,1620,7,7,7,0,4
Bethany,1618.5,7,7,7,0,4
Scott,1497.5,5,5,9,0,4
Burg,1448,4,4,10,0,4
Wikle,1692,9,9,5,0,5
Brazil,1802,8,8,6,0,5
Rebecca,1743.5,8,8,6,0,5
Jersey,1723,8,8,6,0,5
Ford,1828.5,7,7,7,0,5
Kral,1661.5,7,7,7,0,5
Jangaard,1620,7,7,7,0,5
Bethany,1618.5,7,7,7,0,5
Scott,1497.5,5,5,9,0,5
Burg,1448,4,4,10,0,5
Wikle,1692,9,9,5,0,6
Brazil,1802,8,8,6,0,6
Rebecca,1743.5,8,8,6,0,6
Jersey,1723,8,8,6,0,6
Ford,1828.5,7,7,7,0,6
Kral,1661.5,7,7,7,0,6
Jangaard,1620,7,7,7,0,6
Bethany,1618.5,7,7,7,0,6
Scott,1497.5,5,5,9,0,6
Burg,1448,4,4,10,0,6
Wikle,1692,9,9,5,0,7
Brazil,1802,8,8,6,0,7
Rebecca,1743.5,8,8,6,0,7
Jersey,1723,8,8,6,0,7
Ford,1828.5,7,7,7,0,7
Kral,1661.5,7,7,7,0,7
Jangaard,1620,7,7,7,0,7
Bethany,1618.5,7,7,7,0,7
Scott,1497.5,5,5,9,0,7
Burg,1448,4,4,10,0,7
Wikle,1692,9,9,5,0,8
Brazil,1802,8,8,6,0,8
Rebecca,1743.5,8,8,6,0,8
Jersey,1723,8,8,6,0,8
Ford,1828.5,7,7,7,0,8
Kral,1661.5,7,7,7,0,8
Jangaard,1620,7,7,7,0,8
Bethany,1618.5,7,7,7,0,8
Scott,1497.5,5,5,9,0,8
Burg,1448,4,4,10,0,8
Wikle,1692,9,9,5,0,9
Brazil,1802,8,8,6,0,9
Rebecca,1743.5,8,8,6,0,9
Jersey,1723,8,8,6,0,9
Ford,1828.5,7,7,7,0,9
Kral,1661.5,7,7,7,0,9
Jangaard,1620,7,7,7,0,9
Bethany,1618.5,7,7,7,0,9
Scott,1497.5,5,5,9,0,9
Burg,1448,4,4,10,0,9
Wikle,1692,9,9,5,0,10
Brazil,1802,8,8,6,0,10
Rebecca,1743.5,8,8,6,0,10
Jersey,1723,8,8,6,0,10
Ford,1828.5,7,7,7,0,10
Kral,1661.5,7,7,7,0,10
Jangaard,1620,7,7,7,0,10
Bethany,1618.5,7,7,7,0,10
Scott,1497.5,5,5,9,0,10
Burg,1448,4,4,10,0,10
Wikle,1692,9,9,5,0,11
Brazil,1802,8,8,6,0,11
Rebecca,1743.5,8,8,6,0,11
Jersey,1723,8,8,6,0,11
Ford,1828.5,7,7,7,0,11
Kral,1661.5,7,7,7,0,11
Jangaard,1620,7,7,7,0,11
Bethany,1618.5,7,7,7,0,11
Scott,1497.5,5,5,9,0,11
Burg,1448,4,4,10,0,11
Wikle,1692,9,9,5,0,12
Brazil,1802,8,8,6,0,12
Rebecca,1743.5,8,8,6,0,12
Jersey,1723,8,8,6,0,12
Ford,1828.5,7,7,7,0,12
Kral,1661.5,7,7,7,0,12
Jangaard,1620,7,7,7,0,12
Bethany,1618.5,7,7,7,0,12
Scott,1497.5,5,5,9,0,12
Burg,1448,4,4,10,0,12
Wikle,1692,9,9,5,0,13
Brazil,1802,8,8,6,0,13
Rebecca,1743.5,8,8,6,0,13
Jersey,1723,8,8,6,0,13
Ford,1828.5,7,7,7,0,13
Kral,1661.5,7,7,7,0,13
Jangaard,1620,7,7,7,0,13
