Week,Team,Points,Wins,Percent,Rank
0,NA,NA,NA,NA,NA
1,Hoop,1851.3,11.6,89.2,1
1,Ford,1762.2,10.5,85.8,2
1,Obie,1784.7,10.2,83.39999999999999,3
1,Herndon,1672.7,8.9,71,4
1,Wikle,1613.8,8.7,54.7,5
1,Bethany,1520.3,4.2,5.2,6
1,Burg,1545.1,4.6,3.3000000000000003,7
1,Jangaard,1575,5.1,2.9000000000000004,8
1,Jersey,1468.6,2.3,2.5,9
1,Scott,1536.5,3.8,2,10
2,Herndon,1912.1,10.8,83.8,1
2,Ford,1809.5,9.7,77.4,2
2,Hoop,1832.5,9.3,71.6,3
2,Wikle,1694.7,8.7,51.4,4
2,Bethany,1706.5,8.3,49,5
2,Obie,1762.2,6.9,30.5,6
2,Jersey,1649.7,6.1,20.4,7
2,Scott,1672.8,6,15.7,8
2,Burg,1491.3,1.8,0.2,9
2,Jangaard,1528.2,2.4,0,10
3,Ford,1896.8,11,94.1,1
3,Herndon,1980.2,11.6,93.10000000000001,2
3,Bethany,1733.8,8.9,62.9,3
3,Hoop,1780.7,7.6,49.8,4
3,Obie,1828.1,7.1,45.6,5
3,Wikle,1650.4,6.9,22.1,6
3,Jersey,1667,5.5,17.1,7
3,Scott,1669.6,5.8,13.200000000000001,8
3,Jangaard,1586.1,4.2,2.1,9
3,Burg,1493.8,1.3,0,10
4,Ford,1887.9,11.5,96.6,1
4,Herndon,1910.3,10.1,83.8,2
4,Bethany,1771.1,9,66.10000000000001,3
4,Obie,1850.7,7.8,58.4,4
4,Jersey,1752.8,7.3,39.4,5
4,Hoop,1766.7,6.6,26.400000000000002,6
4,Scott,1724.2,7,26,7
4,Wikle,1563.5,4.8,3,8
4,Jangaard,1531.7,3.2,0.3,9
4,Burg,1518.5,2.6,0,10
